2001:2b8:9e::,2001:2b8:9f:ffff:ffff:ffff:ffff:ffff,42540543304967962968028432941493256192,42540543304970380819667662199842668543,"AS17832 Korea Internet Security Agency"
2001:2b8:a0::,2001:2b8:a0:ffff:ffff:ffff:ffff:ffff,42540543304970380819667662199842668544,42540543304971589745487276829017374719,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:a1::,2001:2b8:a1:ffff:ffff:ffff:ffff:ffff,42540543304971589745487276829017374720,42540543304972798671306891458192080895,"AS9700 Korea Network Information Center"
2001:2b8:a2::,2001:2b8:a3:ffff:ffff:ffff:ffff:ffff,42540543304972798671306891458192080896,42540543304975216522946120716541493247,"AS17832 Korea Internet Security Agency"
2001:2b8:a4::,2001:2b8:a4:ffff:ffff:ffff:ffff:ffff,42540543304975216522946120716541493248,42540543304976425448765735345716199423,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:a5::,2001:2b8:af:ffff:ffff:ffff:ffff:ffff,42540543304976425448765735345716199424,42540543304989723632781496266637967359,"AS17832 Korea Internet Security Agency"
2001:2b8:b0::,2001:2b8:b0:ffff:ffff:ffff:ffff:ffff,42540543304989723632781496266637967360,42540543304990932558601110895812673535,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:b1::,2001:2b8:b1:ffff:ffff:ffff:ffff:ffff,42540543304990932558601110895812673536,42540543304992141484420725524987379711,"AS17832 Korea Internet Security Agency"
2001:2b8:b2::,2001:2b8:b2:ffff:ffff:ffff:ffff:ffff,42540543304992141484420725524987379712,42540543304993350410240340154162085887,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:b3::,2001:2b8:b3:ffff:ffff:ffff:ffff:ffff,42540543304993350410240340154162085888,42540543304994559336059954783336792063,"AS17832 Korea Internet Security Agency"
2001:2b8:b4::,2001:2b8:b4:ffff:ffff:ffff:ffff:ffff,42540543304994559336059954783336792064,42540543304995768261879569412511498239,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:b5::,2001:2b8:b5:ffff:ffff:ffff:ffff:ffff,42540543304995768261879569412511498240,42540543304996977187699184041686204415,"AS17832 Korea Internet Security Agency"
2001:2b8:b6::,2001:2b8:b6:ffff:ffff:ffff:ffff:ffff,42540543304996977187699184041686204416,42540543304998186113518798670860910591,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:b7::,2001:2b8:b7:ffff:ffff:ffff:ffff:ffff,42540543304998186113518798670860910592,42540543304999395039338413300035616767,"AS17832 Korea Internet Security Agency"
2001:2b8:b8::,2001:2b8:b8:ffff:ffff:ffff:ffff:ffff,42540543304999395039338413300035616768,42540543305000603965158027929210322943,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:b9::,2001:2b8:b9:ffff:ffff:ffff:ffff:ffff,42540543305000603965158027929210322944,42540543305001812890977642558385029119,"AS17832 Korea Internet Security Agency"
2001:2b8:ba::,2001:2b8:ba:ffff:ffff:ffff:ffff:ffff,42540543305001812890977642558385029120,42540543305003021816797257187559735295,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:bb::,2001:2b8:bb:ffff:ffff:ffff:ffff:ffff,42540543305003021816797257187559735296,42540543305004230742616871816734441471,"AS17832 Korea Internet Security Agency"
2001:2b8:bc::,2001:2b8:bc:ffff:ffff:ffff:ffff:ffff,42540543305004230742616871816734441472,42540543305005439668436486445909147647,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:bd::,2001:2b8:bd:ffff:ffff:ffff:ffff:ffff,42540543305005439668436486445909147648,42540543305006648594256101075083853823,"AS17832 Korea Internet Security Agency"
2001:2b8:be::,2001:2b8:be:ffff:ffff:ffff:ffff:ffff,42540543305006648594256101075083853824,42540543305007857520075715704258559999,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:bf::,2001:2b8:bf:ffff:ffff:ffff:ffff:ffff,42540543305007857520075715704258560000,42540543305009066445895330333433266175,"AS17832 Korea Internet Security Agency"
2001:2b8:c0::,2001:2b8:c0:ffff:ffff:ffff:ffff:ffff,42540543305009066445895330333433266176,42540543305010275371714944962607972351,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:c1::,2001:2b8:c1:ffff:ffff:ffff:ffff:ffff,42540543305010275371714944962607972352,42540543305011484297534559591782678527,"AS17832 Korea Internet Security Agency"
2001:2b8:c2::,2001:2b8:c2:ffff:ffff:ffff:ffff:ffff,42540543305011484297534559591782678528,42540543305012693223354174220957384703,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:c3::,2001:2b8:c3:ffff:ffff:ffff:ffff:ffff,42540543305012693223354174220957384704,42540543305013902149173788850132090879,"AS17832 Korea Internet Security Agency"
2001:2b8:c4::,2001:2b8:c4:ffff:ffff:ffff:ffff:ffff,42540543305013902149173788850132090880,42540543305015111074993403479306797055,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:c5::,2001:2b8:c5:ffff:ffff:ffff:ffff:ffff,42540543305015111074993403479306797056,42540543305016320000813018108481503231,"AS17832 Korea Internet Security Agency"
2001:2b8:c6::,2001:2b8:c6:ffff:ffff:ffff:ffff:ffff,42540543305016320000813018108481503232,42540543305017528926632632737656209407,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:c7::,2001:2b8:c7:ffff:ffff:ffff:ffff:ffff,42540543305017528926632632737656209408,42540543305018737852452247366830915583,"AS17832 Korea Internet Security Agency"
2001:2b8:c8::,2001:2b8:c8:ffff:ffff:ffff:ffff:ffff,42540543305018737852452247366830915584,42540543305019946778271861996005621759,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:c9::,2001:2b8:c9:ffff:ffff:ffff:ffff:ffff,42540543305019946778271861996005621760,42540543305021155704091476625180327935,"AS17832 Korea Internet Security Agency"
